affiliation,count
University College London,13
University of Leeds,11
"Imperial College of Science, Technology and Medicine",10
The University of Manchester,9
University of Edinburgh,9
University of Oxford,9
University of Cambridge,6
University of Sheffield,6
University of Southampton,6
Earlham Institute,3
Met Office,3
Kew Royal Botanic Gardens,2
University of Exeter,2
University of Huddersfield,2
University of Newcastle Upon Tyne,2
University of St Andrews,2
Wellcome Trust Sanger Institute,2
Aberystwyth University,1
Arriva Group,1
BBC,1
Bishop Grosseteste University College Lincoln,1
Climate Code Foundation,1
Daresbury Laboratory,1
Delcam Ltd,1
Heriot-Watt University,1
IBM,1
James Hutton Institute,1
King's College London,1
Media Molecule,1
Owen Stephens Consulting,1
Public Health England,1
"Queen Mary and Westfield College, University of London",1
Thales,1
The John Innes Centre,1
The Sainsbury Laboratory,1
University of Bradford,1
University of Bristol,1
University of Durham,1
University of Liverpool,1
University of Northumbria at Newcastle,1
University of Sussex,1
